Feature,Importance
num__Quantity,0.2582957641873779
num__ItemsInCart,0.20690944076161902
cat__CouponCode_nan,0.1745791347452508
cat__ReferralSource_Facebook,0.06714320892713671
num__TotalPrice,0.04164768418238338
cat__PaymentMethod_Cash,0.033242030824985586
cat__Product_Tablet,0.030218187478614718
cat__CouponCode_FREESHIP,0.02640251590287832
cat__CouponCode_SAVE10,0.021758073846113998
cat__CouponCode_WINTER15,0.016010385923202895
num__UnitPrice,0.01573035019873036
cat__OrderStatus_Cancelled,0.012221642770817776
cat__OrderStatus_Shipped,0.01138970439743205
cat__ReferralSource_Instagram,0.010683348835372482
cat__ReferralSource_Google,0.008610111681950286
cat__Product_Chair,0.007277553401857159
cat__PaymentMethod_Gift Card,0.005820864338493956
cat__PaymentMethod_Online,0.005814232380200532
cat__ReferralSource_Referral,0.005501957190658449
cat__OrderStatus_Pending,0.005431887389429267
cat__OrderStatus_Returned,0.00529050962649499
cat__PaymentMethod_Debit Card,0.004870030468177396
num__IsWeekend,0.004329166424914805
cat__Product_Laptop,0.004015900414779715
cat__ReferralSource_Email,0.003942176424535716
cat__PaymentMethod_Credit Card,0.0037050264512620825
cat__OrderStatus_Delivered,0.0023963907515896585
cat__Product_Printer,0.0019335735159271155
cat__Product_Monitor,0.0017148210600835122
cat__Product_Desk,0.0016287144483192956
cat__Product_Phone,0.0014856110494101229
